state,venue_or_event_type,measure,value
ACT,Live music concerts or performances,attendance_rate_pct,16.9
Australia,Live music concerts or performances,attendance_rate_pct,17.6
NSW,Musicals or operas,attendance_rate_pct,7.8
Vic.,Musicals or operas,attendance_rate_pct,5.7
Qld,Musicals or operas,attendance_rate_pct,7.3
SA,Musicals or operas,attendance_rate_pct,5.6
WA,Musicals or operas,attendance_rate_pct,8.3
Tas.,Musicals or operas,attendance_rate_pct,5.8
NT,Musicals or operas,attendance_rate_pct,4.2
ACT,Musicals or operas,attendance_rate_pct,9.3
Australia,Musicals or operas,attendance_rate_pct,7
NSW,Theatre performances,attendance_rate_pct,7.7
Vic.,Theatre performances,attendance_rate_pct,6.9
Qld,Theatre performances,attendance_rate_pct,8.3
SA,Theatre performances,attendance_rate_pct,8.6
WA,Theatre performances,attendance_rate_pct,9.4
Tas.,Theatre performances,attendance_rate_pct,10.2
NT,Theatre performances,attendance_rate_pct,7.6
ACT,Theatre performances,attendance_rate_pct,10.8
Australia,Theatre performances,attendance_rate_pct,8
NSW,Dance performances,attendance_rate_pct,4.4
Vic.,Dance performances,attendance_rate_pct,3.6
Qld,Dance performances,attendance_rate_pct,6.2
SA,Dance performances,attendance_rate_pct,6.7
WA,Dance performances,attendance_rate_pct,7.8
Tas.,Dance performances,attendance_rate_pct,5.4
NT,Dance performances,attendance_rate_pct,9.3
ACT,Dance performances,attendance_rate_pct,6.4
Australia,Dance performances,attendance_rate_pct,5.1
NSW,Other performing arts,attendance_rate_pct,6.4
Vic.,Other performing arts,attendance_rate_pct,7.5
Qld,Other performing arts,attendance_rate_pct,8.3
SA,Other performing arts,attendance_rate_pct,15.7
WA,Other performing arts,attendance_rate_pct,12.2
Tas.,Other performing arts,attendance_rate_pct,9.2
NT,Other performing arts,attendance_rate_pct,15.6
ACT,Other performing arts,attendance_rate_pct,10.3
Australia,Other performing arts,attendance_rate_pct,8.6
NSW,Total attending at least one performing arts event,attendance_rate_pct,26.9
Vic.,Total attending at least one performing arts event,attendance_rate_pct,26.5
Qld,Total attending at least one performing arts event,attendance_rate_pct,31.1
SA,Total attending at least one performing arts event,attendance_rate_pct,34
WA,Total attending at least one performing arts event,attendance_rate_pct,36.1
Tas.,Total attending at least one performing arts event,attendance_rate_pct,35.5
NT,Total attending at least one performing arts event,attendance_rate_pct,38.9
ACT,Total attending at least one performing arts event,attendance_rate_pct,35.1
Australia,Total attending at least one performing arts event,attendance_rate_pct,29.5
NSW,Total attending at least one venue or event,attendance_rate_pct,61.9
