surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Singh,Satwinder,SINGH,Satwinder,Salisbury,Ward Councillor,South ward,1,No,,Not elected
Voigt,Jason,VOIGT,Jason,Salisbury,Ward Councillor,South ward,5,No,,Not elected
Bawden,Luke,BAWDEN,Luke,Salisbury,Ward Councillor,West ward,1,No,Pauline Hanson’s One Nation,Not elected
Brug,Beau,BRUG,Beau,Salisbury,Ward Councillor,West ward,3,Yes,Australian Labor Party (South Australian Branch),Elected
Lim,Ly,LIM,Ly (Lee),Salisbury,Ward Councillor,West ward,5,No,,Not elected
Mckell,Sharon Joy,McKELL,Sharon,Salisbury,Ward Councillor,West ward,2,No,,Elected
Nyamande,Kudzai,NYAMANDE,Kudzai,Salisbury,Ward Councillor,West ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Williams,Emily Louise,WILLIAMS,Emily,Salisbury,Ward Councillor,West ward,6,No,Australian Labor Party (South Australian Branch),Not elected
Pfeiffer,Neville Kenneth,PFEIFFER,Neville,Southern Mallee,Area Councillor,,,Yes,,Elected unopposed
Valentine,Ronald Peter,VALENTINE,Ron,Southern Mallee,Area Councillor,,,No,,Elected unopposed
Gunn,Graham,GUNN,Graham,Streaky Bay,Ward Councillor,Eyre ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Limbert,Gregory,LIMBERT,Greg,Streaky Bay,Ward Councillor,Eyre ward,,Yes,,Elected unopposed
Trezona,Neville Graham,TREZONA,Neville ,Streaky Bay,Ward Councillor,Eyre ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Barber,Travis Maxwell,BARBER,Travis,Streaky Bay,Ward Councillor,Flinders ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Pudney,Cliff,PUDNEY,Clifford John,Streaky Bay,Ward Councillor,Flinders ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Sally Ann,Mckenzie,TREZONA,Sally,Streaky Bay,Ward Councillor,Flinders ward,,Yes,,Elected unopposed
Wheaton,Philip,WHEATON,Philip  Lawrence ,Streaky Bay,Ward Councillor,Flinders ward,,No,,Elected unopposed
Andersen,Linda Jane,ANDERSEN,Linda,Tatiara,Area Councillor,,12,No,,Elected
Brown,Deborah Anne,BROWN,Debbie,Tatiara,Area Councillor,,11,No,,Not elected
Butler,Trevor Mark,BUTLER,Trevor,Tatiara,Area Councillor,,2,No,,Elected
Downing,Debra Jane,DOWNING,Deb,Tatiara,Area Councillor,,4,No,,Elected
Golding,Tiffany Jean,GOLDING,Tiffany ,Tatiara,Area Councillor,,10,No,,Not elected
Halliday,Richard Davill,HALLIDAY,Richard,Tatiara,Area Councillor,,9,No,,Elected
Hannemann,Miles Weston,HANNEMANN,Miles Weston,Tatiara,Area Councillor,,13,Yes,National Party of Australia (SA) Inc,Elected
Langley,Catherine Jean,LANGLEY,Cathy,Tatiara,Area Councillor,,6,Yes,,Elected
Mackenzie,Lynton Arnold,MACKENZIE,Lynton Arnold,Tatiara,Area Councillor,,7,No,Liberal Party of Australia (SA Division),Elected
Mackereth,Christine,MACKERETH,Chris ,Tatiara,Area Councillor,,5,No,,Not elected
Martin,Clarissa,MARTIN,Clarry,Tatiara,Area Councillor,,8,No,,Elected
Mcinerney,Kenneth John,McINERNEY,Kenneth John,Tatiara,Area Councillor,,3,Yes,,Not elected
Moore,Natalie,MOORE,Natalie,Tatiara,Area Councillor,,1,No,,Elected
Goossens,Elizabeth Ann,GOOSSENS,Liz,Tatiara,Mayor,,2,Yes,,Elected
Ross,John,ROSS,John Stuart ,Tatiara,Mayor,,1,No,,Not elected
Angeli,Steven,ANGELI,Steven,Tea Tree Gully,Mayor,,3,No,,Not elected
Hawkless,Cory Neil James,HAWKVELT,Cory,Tea Tree Gully,Mayor,,1,No,,Not elected
Knight,Kevin,KNIGHT,Kevin,Tea Tree Gully,Mayor,,5,Yes,,Not elected
Morton,Rosemary Ann,MORTON-HALL,Rose,Tea Tree Gully,Mayor,,2,No,,Not elected
Ryan,Marijka,RYAN,Marijka,Tea Tree Gully,Mayor,,4,No,,Elected
Bakshi,Daljeet,BAKSHI,Daljeet,Tea Tree Gully,Ward Councillor,Balmoral ward,4,No,,Not elected
Charles,Nicholas Dragan,CHARLES,Nicholas,Tea Tree Gully,Ward Councillor,Balmoral ward,7,No,Liberal Party of Australia (SA Division),Not elected
Khizam,Mona,KHIZAM,Mona,Tea Tree Gully,Ward Councillor,Balmoral ward,8,No,,Not elected
Mattiske,Adla Ruth,MATTISKE,Adla,Tea Tree Gully,Ward Councillor,Balmoral ward,3,No,Australian Greens SA,Not elected
Nicholls,Kathryn Marie,NICHOLLS,Kathy,Tea Tree Gully,Ward Councillor,Balmoral ward,5,No,Liberal Party of Australia (SA Division),Not elected
Salehi,Bahar,SALEHI,Bahar,Tea Tree Gully,Ward Councillor,Balmoral ward,6,No,,Not elected
Unger,Robert John,UNGER,Rob,Tea Tree Gully,Ward Councillor,Balmoral ward,2,Yes,Liberal Party of Australia (SA Division),Elected
Zagladov,Iryna,ZAGLADOV,Irena,Tea Tree Gully,Ward Councillor,Balmoral ward,1,No,Liberal Party of Australia (SA Division),Elected
Drozdoff,Kimberley Sarah,DROZDOFF,Kimberley,Tea Tree Gully,Ward Councillor,Drumminor ward,3,No,,Elected
Leung,Kin Hung,LEUNG,Cyril,Tea Tree Gully,Ward Councillor,Drumminor ward,5,No,,Not elected
Petrie,Lynette Margaret,PETRIE,Lyn,Tea Tree Gully,Ward Councillor,Drumminor ward,1,Yes,Liberal Party of Australia (SA Division),Not elected
Roberts,Kylie Michelle,ROBERTS,Kylie,Tea Tree Gully,Ward Councillor,Drumminor ward,4,No,,Not elected
Wyld,Damian,WYLD,Damian,Tea Tree Gully,Ward Councillor,Drumminor ward,2,Yes,Liberal Party of Australia (SA Division),Elected
Batten,Stanley Lennard Basil,BATTEN,Stanley,Tea Tree Gully,Ward Councillor,Hillcott ward,2,No,,Not elected
Dingley,John,DINGLEY,John,Tea Tree Gully,Ward Councillor,Hillcott ward,4,No,,Not elected
Foreman,Kristianne Veronica,FOREMAN,Kristianne,Tea Tree Gully,Ward Councillor,Hillcott ward,3,Yes,Australian Labor Party (South Australian Branch),Elected
Keane,Sandra,KEANE,Sandy,Tea Tree Gully,Ward Councillor,Hillcott ward,1,Yes,,Elected
Chanana,Sugandhi,CHANANA,Sugandhi,Tea Tree Gully,Ward Councillor,Pedare ward,3,No,,Not elected
Jentsch,Cameron,JENTSCH,Cameron,Tea Tree Gully,Ward Councillor,Pedare ward,4,No,,Not elected
Keane,Bernard John,KEANE,Bernie,Tea Tree Gully,Ward Councillor,Pedare ward,5,Yes,,Elected
Sinclair,Tammie Lee,SINCLAIR,Tammie Lee,Tea Tree Gully,Ward Councillor,Pedare ward,1,No,,Elected
Vivian,Joshua Matthew,VIVIAN,Joshua,Tea Tree Gully,Ward Councillor,Pedare ward,2,No,Liberal Party of Australia (SA Division),Not elected
Jones,Lucas,JONES,Lucas,Tea Tree Gully,Ward Councillor,Steventon ward,1,Yes,Australian Labor Party (South Australian Branch),Elected
Kearney,Anthony Patrick,KEARNEY,Anthony,Tea Tree Gully,Ward Councillor,Steventon ward,2,No,,Not elected
Lintvelt,Jessica Anne,LINTVELT,Jessica,Tea Tree Gully,Ward Councillor,Steventon ward,3,Yes,,Elected
Bedi,Gagandeep Singh,BEDI,Gags,Tea Tree Gully,Ward Councillor,Water Gully ward,2,No,,Not elected
Champion,Marina,CHAMPION,Marina,Tea Tree Gully,Ward Councillor,Water Gully ward,3,No,Liberal Party of Australia (SA Division),Elected
Harris,Luke,HARRIS,Luke,Tea Tree Gully,Ward Councillor,Water Gully ward,1,No,,Not elected
Lawrenson,Blake,LAWRENSON,Blake,Tea Tree Gully,Ward Councillor,Water Gully ward,4,No,Liberal Party of Australia (SA Division),Elected
Trenberth,Ricky Paul,TRENBERTH,Ricky ,Tumby Bay,Area Councillor,,,Yes,,Elected unopposed
Will,Roderick Dirk,WILL,Rick,Tumby Bay,Area Councillor,,,No,,Elected unopposed
Churchett,Geoffrey John,CHURCHETT,Geoffrey,Tumby Bay,Mayor,,,No,,Elected unopposed
Centrella,Dario,CENTRELLA,Dario,Unley,Mayor,,3,Yes,,Not elected
Hewitson,Michael,HEWITSON,Michael Gordon,Unley,Mayor,,2,Yes,,Elected
Macfarlane,Marijana Jancek,MACFARLANE,Marijana,Unley,Mayor,,4,No,,Not elected
Schnell,Robert John,SCHNELL,Bob,Unley,Mayor,,1,No,,Not elected
Palmer,Donald,PALMER,Don,Unley,Ward Councillor,Clarence Park ward,1,Yes,,Elected
Rogers,Rebekah,ROGERS,Rebekah,Unley,Ward Councillor,Clarence Park ward,2,No,,Elected
Squire,Jayden,SQUIRE,Jayden,Unley,Ward Councillor,Clarence Park ward,3,No,Liberal Party of Australia (SA Division),Not elected
Braendler,Joshua,BRAENDLER,Josh,Unley,Ward Councillor,Fullarton ward,4,No,Liberal Party of Australia (SA Division),Not elected
Caulfield,Finnian,CAULFIELD,Finn,Unley,Ward Councillor,Fullarton ward,3,No,Australian Greens SA,Not elected
Gaffey,John Denis,GAFFEY,Jack,Unley,Ward Councillor,Fullarton ward,2,No,Liberal Party of Australia (SA Division),Elected
Havord,Peter John,HAVORD,Peter,Unley,Ward Councillor,Fullarton ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Hughes,Peter Campbell,HUGHES,Peter ,Unley,Ward Councillor,Fullarton ward,5,Yes,,Elected
Crabbe,Chris,CRABBE,Chris,Unley,Ward Councillor,Goodwood ward,3,No,,Elected
Hart,Georgina Mary,HART,Georgie,Unley,Ward Councillor,Goodwood ward,2,No,Australian Greens SA,Elected
Macfarlane,Christopher James,MACFARLANE,Chris,Unley,Ward Councillor,Goodwood ward,6,No,,Not elected
Mcphee,Scott,McPHEE,Scott,Unley,Ward Councillor,Goodwood ward,5,No,,Not elected
Smolucha,Luke,SMOLUCHA,Luke,Unley,Ward Councillor,Goodwood ward,7,No,,Not elected
Tipper,Denise Anne,TIPPER,Denise,Unley,Ward Councillor,Goodwood ward,1,No,,Not elected
Tipper,Jake Edward,TIPPER,Jake,Unley,Ward Councillor,Goodwood ward,4,No,,Not elected
Anastassiadis,Koula,ANASTASSIADIS,Kay,Unley,Ward Councillor,Parkside ward,2,Yes,,Not elected
Blyth,Leah,BLYTH,Leah,Unley,Ward Councillor,Parkside ward,1,No,Liberal Party of Australia (SA Division),Not elected
Bonham,Jennifer,BONHAM,Jennifer,Unley,Ward Councillor,Parkside ward,3,Yes,Australian Greens SA,Elected
Doyle,Luke,DOYLE,Luke,Unley,Ward Councillor,Parkside ward,4,No,Liberal Party of Australia (SA Division),Elected
Dewing,Sue,DEWING,Sue,Unley,Ward Councillor,Unley ward,3,Yes,,Not elected
Finos,Stephen,FINOS,Stephen,Unley,Ward Councillor,Unley ward,1,No,,Elected
Russo,Jane,RUSSO,Jane,Unley,Ward Councillor,Unley ward,2,Yes,,Elected
Broniecki,Monica,BRONIECKI,Monica,Unley,Ward Councillor,Unley Park ward,1,Yes,Liberal Party of Australia (SA Division),Elected
Chataway,Roslyn Marie,CHATAWAY,Roslyn Marie,Unley,Ward Councillor,Unley Park ward,3,No,,Not elected
Prior,Paul Thomas,PRIOR,Paul Thomas,Unley,Ward Councillor,Unley Park ward,4,No,,Not elected
Rabbitt,Michael James,RABBITT,Michael James,Unley,Ward Councillor,Unley Park ward,2,Yes,,Elected
Alsford,Martin James,ALSFORD,Marty,Victor Harbor,Area Councillor,,14,No,,Not elected
Bruce,James Frederic Baines,BRUCE,James,Victor Harbor,Area Councillor,,11,No,,Not elected
Burns,Stewart,BURNS,Stewart,Victor Harbor,Area Councillor,,1,No,,Elected
Dellaney,Angelique Venus May,DELLANEY,Angelique,Victor Harbor,Area Councillor,,18,No,,Not elected
Hames,Bailey,HAMES,Bailey,Victor Harbor,Area Councillor,,17,No,,Not elected
Henderson,Marilyn,HENDERSON,Marilyn,Victor Harbor,Area Councillor,,7,Yes,Australian Greens SA,Elected
Kemp,David John,KEMP,David ,Victor Harbor,Area Councillor,,19,Yes,,Elected
Mann,Brayden Robert,MANN,Brayden Robert,Victor Harbor,Area Councillor,,2,Yes,,Elected
Mckenzie,Nick,MCKENZIE,Nick,Victor Harbor,Area Councillor,,5,No,,Elected
Milner,Gordon John,MILNER,John,Victor Harbor,Area Councillor,,9,No,,Not elected
Mitchell,Timothy Richard,MITCHELL,Timothy Richard,Victor Harbor,Area Councillor,,15,No,,Not elected
Quaremba,Carlos,QUAREMBA,Carlos,Victor Harbor,Area Councillor,,4,No,Pauline Hanson’s One Nation,Elected
Quinton,Michael,QUINTON,Michael,Victor Harbor,Area Councillor,,13,No,,Elected
Reynolds,Robert Norman,REYNOLDS,Rob,Victor Harbor,Area Councillor,,3,No,,Not elected
Robertson,Andrew Gordon,ROBERTSON,Andrew,Victor Harbor,Area Councillor,,16,Yes,,Not elected
Schiller,Angela Gay,SCHILLER,Angela,Victor Harbor,Area Councillor,,12,No,,Elected
Schofield,Carol Jean,SCHOFIELD,Carol,Victor Harbor,Area Councillor,,10,Yes,Liberal Party of Australia (SA Division),Elected
Storer,Megan Elizabeth,STORER,Megan,Victor Harbor,Area Councillor,,8,No,,Not elected
Watson,Malcolm David,WATSON,Malcolm David,Victor Harbor,Area Councillor,,6,No,,Not elected
Charles,Peter Alexander,CHARLES,Peter Alexander (Oopsy),Victor Harbor,Mayor,,2,No,,Not elected
Hayles,Nicholas Graeme,HAYLES,Nick,Victor Harbor,Mayor,,3,Yes,Liberal Party of Australia (SA Division),Not elected
Jenkins,Moira,JENKINS,Moira,Victor Harbor,Mayor,,1,Yes,,Elected
Reid,Rodney,REID,Rodney John,Wakefield,Mayor,,,Yes,,Elected unopposed
Bais,Laury,BAIS,Laury,Wakefield,Ward Councillor,Central ward,4,No,,Not elected
Greenshields,Mark,GREENSHIELDS,Mark,Wakefield,Ward Councillor,Central ward,6,No,,Not elected
Greenshields,Michael John,GREENSHIELDS,Michael,Wakefield,Ward Councillor,Central ward,3,Yes,,Elected
May,Malcolm Richard,MAY ,Malcolm,Wakefield,Ward Councillor,Central ward,5,Yes,,Elected
Rankine,Michael Rex,RANKINE,Michael Rex,Wakefield,Ward Councillor,Central ward,2,Yes,,Elected
Taylor,Dianne Marie,TAYLOR,Dianne,Wakefield,Ward Councillor,Central ward,1,No,,Elected
Agnew,Denni Joy,AGNEW ,Denni ,Wakefield,Ward Councillor,North ward,2,Yes,,Elected
Hill,Peter David,HILL,Peter David,Wakefield,Ward Councillor,North ward,6,No,,Not elected
Michael,Thomas Kent Lewis,MICHAEL,Tom,Wakefield,Ward Councillor,North ward,1,No,Liberal Party of Australia (SA Division),Elected
Perry,Ian Gordon,PERRY,Ian,Wakefield,Ward Councillor,North ward,5,No,,Not elected
Stringer,Derryn,STRINGER,Derryn,Wakefield,Ward Councillor,North ward,4,No,,Elected
Wood,John Stewart,WOOD,John,Wakefield,Ward Councillor,North ward,3,Yes,,Not elected
Bowyer,Peter Norman,BOWYER,Peter,Wakefield,Ward Councillor,South ward,,Yes,,Elected unopposed
Chappell,Barbara Mary,CHAPPELL,Barbara Mary,Wakefield,Ward Councillor,South ward,,No,,Elected unopposed
Allanson,Jay,ALLANSON,Jay,Walkerville,Area Councillor,,7,No,,Elected
Forth,Mark Steven,FORTH,Mark Steven,Walkerville,Area Councillor,,1,No,,Not elected
Furlan,Stephen Anthony,FURLAN,Stephen,Walkerville,Area Councillor,,12,Yes,,Not elected
Kaur,Amanpreet,KAUR ,Aman,Walkerville,Area Councillor,,3,No,,Elected
Montague,John,MONTAGUE,John,Walkerville,Area Councillor,,4,No,,Not elected
Nenke,James Paul,NENKE,James,Walkerville,Area Councillor,,9,Yes,,Elected
Newton,Tess Jane,NEWTON,Tess ,Walkerville,Area Councillor,,13,No,,Not elected
Rypp,Steven,RYPP,Steven,Walkerville,Area Councillor,,5,No,Liberal Party of Australia (SA Division),Elected
Trotter,Elizabeth Maree,TROTTER,Liz,Walkerville,Area Councillor,,8,No,,Elected
Vanstone,Anthony James,VANSTONE,Anthony James,Walkerville,Area Councillor,,11,No,,Elected
Wilkins,Conrad Matthew,WILKINS,Conrad,Walkerville,Area Councillor,,6,Yes,,Not elected
Williams,James,WILLIAMS,James,Walkerville,Area Councillor,,2,Yes,,Elected
Zeppel,John Mervin,ZEPPEL,John,Walkerville,Area Councillor,,10,No,,Elected
Fricker,Elizabeth Ann,FRICKER,Elizabeth,Walkerville,Mayor,,2,Yes,Liberal Party of Australia (SA Division),Not elected
Jones,Melissa,JONES,Melissa,Walkerville,Mayor,,1,No,Liberal Party of Australia (SA Division),Elected
Noll,Desmond John Noll,NOLL,Des,Wattle Range,Mayor,,,Yes,,Elected unopposed
Drew,John Franklin,DREW,John Franklin,Wattle Range,Ward Councillor,Corcoran ward,6,Yes,,Elected
Dunnicliff,Peter Alan,DUNNICLIFF,Peter,Wattle Range,Ward Councillor,Corcoran ward,4,Yes,,Elected
Morgan,Lee Philip,MORGAN,Lee Philip,Wattle Range,Ward Councillor,Corcoran ward,5,No,,Not elected
Muhovics,Dennis,MUHOVICS,Dennis,Wattle Range,Ward Councillor,Corcoran ward,1,Yes,,Elected
Neagle,Moira,NEAGLE,Moira ,Wattle Range,Ward Councillor,Corcoran ward,3,Yes,,Elected
Walshaw,David,WALSHAW,David Pearson,Wattle Range,Ward Councillor,Corcoran ward,2,No,,Elected
Adamo,Carrie,ADAMO,Carrie ,Wattle Range,Ward Councillor,Kintore ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Cassidy,Richard,CASSIDY,Richard,Wattle Range,Ward Councillor,Kintore ward,3,No,,Elected
Cox,Sharon Wendy,COX,Sharon,Wattle Range,Ward Councillor,Kintore ward,2,Yes,,Elected
Brodie,Christopher Mark,BRODIE,Christopher Mark,Wattle Range,Ward Councillor,Riddoch ward,3,Yes,,Elected
Burrow,Dean Francis,BURROW,Dean Francis,Wattle Range,Ward Councillor,Riddoch ward,2,Yes,Liberal Party of Australia (SA Division),Not elected
Castine,Emma,CASTINE,Emma,Wattle Range,Ward Councillor,Riddoch ward,1,No,,Elected
Agnew,Deborah Jane,AGNEW,Deb,Wattle Range,Ward Councillor,Sorby Adams ward,4,Yes,,Elected
Moore,Gregory John,MOORE,Gregory,Wattle Range,Ward Councillor,Sorby Adams ward,3,No,,Not elected
Price,Dale,PRICE,Dale,Wattle Range,Ward Councillor,Sorby Adams ward,2,Yes,,Elected
Stewart,Robert,STEWART,Robert ,Wattle Range,Ward Councillor,Sorby Adams ward,1,No,,Not elected
Coxon,Michael,COXON,Michael Stuart,West Torrens,Mayor,,,Yes,,Elected unopposed
Comrie,Sara,COMRIE,Sara,West Torrens,Ward Councillor,Airport ward,4,No,,Elected
Marciniak,Christopher Luke,MARCINIAK,Chris,West Torrens,Ward Councillor,Airport ward,3,No,Australian Labor Party (South Australian Branch),Not elected
Noble,Gregory Ian,NOBLE,Greg,West Torrens,Ward Councillor,Airport ward,1,No,,Not elected
Pande,Saurabh,PANDE,Sam,West Torrens,Ward Councillor,Airport ward,6,No,,Not elected
Verma,Kirti,VERMA,Kirti,West Torrens,Ward Councillor,Airport ward,5,No,,Not elected
Wood,Jassmine Peggy,WOOD,Jassmine,West Torrens,Ward Councillor,Airport ward,2,Yes,,Elected
Malhotra,Rajeev,MALHOTRA,Rajeev,West Torrens,Ward Councillor,Hilton ward,1,No,,Not elected
O’Rielley,Cynthia,O'RIELLEY,Cindy,West Torrens,Ward Councillor,Hilton ward,3,Yes,,Elected
Vlahos,George,VLAHOS,George,West Torrens,Ward Councillor,Hilton ward,4,Yes,,Not elected
Whiting,Samuel Charles,WHITING,Sam,West Torrens,Ward Councillor,Hilton ward,2,No,Australian Labor Party (South Australian Branch),Elected
Adams,Roxane,ADAMS,Roxane,West Torrens,Ward Councillor,Keswick ward,3,No,Australian Greens SA,Not elected
Farnden,Michael,FARNDEN,Michael,West Torrens,Ward Councillor,Keswick ward,2,No,,Not elected
Minhas,Gurpreet Singh,MINHAS,Gurpreet Singh,West Torrens,Ward Councillor,Keswick ward,6,No,Australian Labor Party (South Australian Branch),Not elected
Papanikolaou,Elisabeth,PAPANIKOLAOU,Elisabeth,West Torrens,Ward Councillor,Keswick ward,4,Yes,,Elected
Singh,Iqbal,SINGH,Iqbal,West Torrens,Ward Councillor,Keswick ward,1,No,,Not elected
Woodward,John Paul Edward,WOODWARD,John,West Torrens,Ward Councillor,Keswick ward,5,Yes,,Elected
Huggett,Daniel Alexander,HUGGETT,Daniel,West Torrens,Ward Councillor,Lockleys ward,1,Yes,,Elected
Marrone,Melissa,MARRONE,Melissa,West Torrens,Ward Councillor,Lockleys ward,4,No,,Not elected
Mckay,Kym,MCKAY,Kym ,West Torrens,Ward Councillor,Lockleys ward,2,Yes,,Elected
O'Sullivan,Franics John Patrick,O'SULLIVAN,Patrick,West Torrens,Ward Councillor,Lockleys ward,3,No,Australian Greens SA,Not elected
Demetriou,George,DEMETRIOU,George,West Torrens,Ward Councillor,Morphett ward,,No,,Elected unopposed
Mckay,Anne,MCKAY,Anne,West Torrens,Ward Councillor,Morphett ward,,Yes,,Elected unopposed
Ahluwalia,Parneet Kaur,AHLUWALIA,Parneet Kaur,West Torrens,Ward Councillor,Plympton ward,5,No,Australian Labor Party (South Australian Branch),Not elected
Ali,Abdurhman,ALI ,Abdurhman,West Torrens,Ward Councillor,Plympton ward,4,No,,Not elected
Farnden,Haylee,FARNDEN,Haylee,West Torrens,Ward Councillor,Plympton ward,2,No,,Not elected
Gelonese,Lana,GELONESE,Lana,West Torrens,Ward Councillor,Plympton ward,3,No,Liberal Party of Australia (SA Division),Elected
Pal,Surender,PAL,Surender,West Torrens,Ward Councillor,Plympton ward,1,Yes,Australian Labor Party (South Australian Branch),Elected
Kaur,Payalpreet,KAUR,Payalpreet,West Torrens,Ward Councillor,Thebarton ward,5,No,,Not elected
Louth,Peta-Anne,LOUTH,Peta-anne ,West Torrens,Ward Councillor,Thebarton ward,1,No,Australian Greens SA,Not elected
Mckay,Matthew,MCKAY,Matthew,West Torrens,Ward Councillor,Thebarton ward,6,No,,Not elected
Mundy,Linda,MUNDY,Linda,West Torrens,Ward Councillor,Thebarton ward,3,No,,Not elected
Nitschke,Graham,NITSCHKE,Graham,West Torrens,Ward Councillor,Thebarton ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Papafilopoulos,Zoi,PAPAFILOPOULOS,Zoi,West Torrens,Ward Councillor,Thebarton ward,4,No,Australian Labor Party (South Australian Branch),Elected
Arcobelli,Ugo,ARCOBELLI,Ugo,Whyalla  City of,Area Councillor,,1,No,,Not elected
Babidge,Phillip Donald,BABIDGE,Phillip Donald,Whyalla,Area Councillor,,8,No,,Not elected
Borda,Peter Laurence,BORDA,Peter Laurence,Whyalla,Area Councillor,,6,No,,Elected
Breuer,Timothy Raymond,BREUER,Timothy Raymond,Whyalla,Area Councillor,,18,No,Australian Labor Party (South Australian Branch),Not elected
Caswell,Kathryn Michelle,CAMPBELL ,Kathryn Michelle,Whyalla,Area Councillor,,2,No,,Elected
Handley,Paul,HANDLEY,Paul,Whyalla,Area Councillor,,19,No,,Not elected
Head,Mathew,HEAD,Mathew,Whyalla,Area Councillor,,5,No,,Not elected
Inglis,Mark Francis,INGLIS,Mark Francis,Whyalla,Area Councillor,,9,No,,Elected
Kelly,Amanda,KELLY,Amanda,Whyalla,Area Councillor,,10,No,,Not elected
Klobucar,Peter James,KLOBUCAR,Peter,Whyalla,Area Councillor,,13,No,,Elected
Knox,David,KNOX,David,Whyalla,Area Councillor,,7,Yes,,Elected
Moellner,Fiona Rose,MOELLNER,Fiona,Whyalla,Area Councillor,,11,No,,Not elected
Owens,Jane Elizabeth,OWENS,Jane Elizabeth,Whyalla,Area Councillor,,12,No,,Not elected
Pond,Tamy,POND,Tamy,Whyalla,Area Councillor,,16,Yes,,Elected
Simpson,William H.M,SIMPSON,Bill,Whyalla,Area Councillor,,3,Yes,,Elected
Thompson,Adrian Michael,THOMPSON,Adrian,Whyalla,Area Councillor,,17,No,,Not elected
Todd,Sharon Tracey,TODD,Sharon,Whyalla,Area Councillor,,14,No,,Elected
Walsh,Sandra Marie,WALSH,Sandra,Whyalla,Area Councillor,,15,No,,Not elected
Westerman,Zia,WESTERMAN ,Zia,Whyalla,Area Councillor,,4,Yes,,Elected
Antonio,Thomas Anthony,ANTONIO,Thomas Anthony,Whyalla,Mayor,,1,No,,Not elected
Stone,Phillip,STONE,Phill,Whyalla,Mayor,,2,Yes,,Elected
Cook,Matthew William,COOK,Matthew William,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Dubois,Richard Andrew,DUBOIS,Rick,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Habermann,Elizabeth Kaye,HABERMANN,Liz,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Luscombe,Newton Rufford Cavanough,LUSCOMBE,Ned,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Scholz,Eleanor Irene,SCHOLZ,Eleanor,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Scholz,Naomi,SCHOLZ,Naomi,Wudinna,Area Councillor,,,Yes,,Elected unopposed
Houston,Darryl John,HOUSTON,Darryl John,Yankalilla,Ward Councillor,Field ward,3,No,,Elected
Olsson,David,OLSSON,David,Yankalilla,Ward Councillor,Field ward,2,Yes,,Elected
Oneil,Peter Edwin,ONEIL,Peter Edwin,Yankalilla,Ward Councillor,Field ward,6,Yes,,Not elected
Polomka,Lawrence Thomas,POLOMKA,Lawrence Thomas,Yankalilla,Ward Councillor,Field ward,5,No,,Elected
Rothwell,Simon,ROTHWELL,Simon,Yankalilla,Ward Councillor,Field ward,4,Yes,,Elected
Zarins,Leon,ZARINS,Leon,Yankalilla,Ward Councillor,Field ward,1,Yes,,Not elected
Denton,Gavin Harold,DENTON,Gavin,Yankalilla,Ward Councillor,Light ward,10,No,,Not elected
Gibbs,Wayne Leslie,GIBBS,Wayne,Yankalilla,Ward Councillor,Light ward,3,No,,Elected
Grocke,Shane Thomas,GROCKE,Shane,Yankalilla,Ward Councillor,Light ward,9,Yes,,Not elected
Moffat,Timothy,MOFFAT,Tim,Yankalilla,Ward Councillor,Light ward,4,No,,Elected
Quirke,Davina Cherie,QUIRKE,Davina,Yankalilla,Ward Councillor,Light ward,2,Yes,,Elected
Reed,Simon,REED ,Simon John,Yankalilla,Ward Councillor,Light ward,8,No,,Not elected
Rowlands,Glen Robert,ROWLANDS,Glen ,Yankalilla,Ward Councillor,Light ward,1,Yes,,Elected
Shaughnessy,Michele,SHAUGHNESSY,Michele,Yankalilla,Ward Councillor,Light ward,7,No,,Not elected
Vercoe,Edward Geoffrey,VERCOE,Ed,Yankalilla,Ward Councillor,Light ward,5,No,,Not elected
Verwey,Michael Willebrordus,VERWEY,Bill,Yankalilla,Ward Councillor,Light ward,6,Yes,,Elected
Braund,Darren Terry,BRAUND,Darren Terry,Yorke Peninsula,Mayor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Bittner,Naomi Kate,BITTNER,Naomi ,Yorke Peninsula,Ward Councillor,Gum Flat ward,2,Yes,,Elected
Clerke,Trevor Noel,CLERKE,Trevor Noel,Yorke Peninsula,Ward Councillor,Gum Flat ward,1,No,,Elected
Hoyle,Scott Wayne,HOYLE,Scott W,Yorke Peninsula,Ward Councillor,Gum Flat ward,3,No,,Elected
O'Brien,Leanne Gail,O'BRIEN,Leanne Gail,Yorke Peninsula,Ward Councillor,Gum Flat ward,4,Yes,,Not elected
