sex,period,type_of_homicide,unit,value,data_flag
Males,2017–18,Intimate partner,"Rate (Number per 100,000)",0.14,*
Males,2018–19,Intimate partner,"Rate (Number per 100,000)",0.14,*
Males,2019–20,Intimate partner,"Rate (Number per 100,000)",0.09,*
Males,2020–21,Intimate partner,"Rate (Number per 100,000)",0.13,*
Males,2021–22,Intimate partner,"Rate (Number per 100,000)",0.10,*
Males,2022–23,Intimate partner,"Rate (Number per 100,000)",0.04,*
Males,2023–24,Intimate partner,"Rate (Number per 100,000)",0.10,*
Males,2024–25,Intimate partner,"Rate (Number per 100,000)",0.13,*
Persons,1989–90,Domestic,"Rate (Number per 100,000)",0.75,
Persons,1990–91,Domestic,"Rate (Number per 100,000)",0.78,
Persons,1991–92,Domestic,"Rate (Number per 100,000)",0.61,
Persons,1992–93,Domestic,"Rate (Number per 100,000)",0.77,
Persons,1993–94,Domestic,"Rate (Number per 100,000)",0.79,
Persons,1994–95,Domestic,"Rate (Number per 100,000)",0.89,
Persons,1995–96,Domestic,"Rate (Number per 100,000)",0.72,
Persons,1996–97,Domestic,"Rate (Number per 100,000)",0.65,
Persons,1997–98,Domestic,"Rate (Number per 100,000)",0.67,
Persons,1998–99,Domestic,"Rate (Number per 100,000)",0.62,
Persons,1999–2000,Domestic,"Rate (Number per 100,000)",0.74,
Persons,2000–01,Domestic,"Rate (Number per 100,000)",0.60,
Persons,2001–02,Domestic,"Rate (Number per 100,000)",0.90,
Persons,2002–03,Domestic,"Rate (Number per 100,000)",0.71,
Persons,2003–04,Domestic,"Rate (Number per 100,000)",0.62,
Persons,2004–05,Domestic,"Rate (Number per 100,000)",0.56,
Persons,2005–06,Domestic,"Rate (Number per 100,000)",0.67,
Persons,2006–07,Domestic,"Rate (Number per 100,000)",0.56,
