year,offence,location,unit,value
2019,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.3
2019,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",0.0
2019,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",3.9
2019,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",3.2
2019,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2019,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",11.2
2019,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2019,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",155.2
2019,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",94.7
2019,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",89.3
2019,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",54.7
2020,Assault,New South Wales,"Victimisation rate (number per 100,000)",1021.9
2020,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2020,Assault,South Australia,"Victimisation rate (number per 100,000)",4158.5
2020,Assault,Northern Territory,"Victimisation rate (number per 100,000)",5910.9
2020,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",0.0
2020,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.7
2020,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",0.0
2020,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",3.9
2020,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",3.5
2020,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2020,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",0.0
2020,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2020,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",132.4
2020,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",98.4
2020,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",94.2
2020,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",82.5
2021,Assault,New South Wales,"Victimisation rate (number per 100,000)",1078.4
2021,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2021,Assault,South Australia,"Victimisation rate (number per 100,000)",3991.2
2021,Assault,Northern Territory,"Victimisation rate (number per 100,000)",6455.0
2021,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",1.4
2021,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.2
2021,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",6.4
2021,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",8.9
2021,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",3.4
2021,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2021,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",6.4
2021,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2021,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",133.0
2021,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",121.4
2021,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",103.2
2021,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",75.4
2022,Assault,New South Wales,"Victimisation rate (number per 100,000)",1699.5
2022,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2022,Assault,South Australia,"Victimisation rate (number per 100,000)",4788.5
2022,Assault,Northern Territory,"Victimisation rate (number per 100,000)",7679.1
2022,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",1.0
2022,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.6
2022,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",6.3
2022,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",10.1
2022,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",8.7
2022,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",1.6
2022,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",0.0
2022,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2022,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",156.4
2022,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",144.8
2022,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",99.1
2022,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",88.6
