date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2018-06,Beer,False,,,0
2018-07,Beer,False,,,0.1
2018-08,Beer,False,,,1.7
2018-09,Beer,False,,2,-1
2018-10,Beer,False,,2,0.7
2018-11,Beer,False,,0.7,-1.2
2018-12,Beer,False,,1.8,-0.1
2019-01,Beer,False,,0.3,0.2
2019-02,Beer,False,,0,0.3
2019-03,Beer,False,,0.2,0.5
2019-04,Beer,False,,1,0.4
2019-05,Beer,False,,1.7,0.1
2019-06,Beer,False,,1.6,-0.1
2019-07,Beer,False,,1.7,0.2
2019-08,Beer,False,,0.2,0.1
2019-09,Beer,False,,0.9,-0.2
2019-10,Beer,False,,0.8,0.6
2019-11,Beer,False,,0.7,-1.3
2019-12,Beer,False,,1.2,0.4
2020-01,Beer,False,,1.9,0.8
2020-02,Beer,False,,1.8,0.3
2020-03,Beer,False,,1.6,0.3
2020-04,Beer,False,,3.5,2.2
2020-05,Beer,False,,2.1,-1.2
2020-06,Beer,False,,2.9,0.6
2020-07,Beer,False,,2.2,-0.5
2020-08,Beer,False,,2.7,0.6
2020-09,Beer,False,,2.8,-0.1
2020-10,Beer,False,,1.9,-0.3
2020-11,Beer,False,,2.9,-0.3
2020-12,Beer,False,,2.4,0
2021-01,Beer,False,,1.5,0
2021-02,Beer,False,,2.2,0.9
2021-03,Beer,False,,2.2,0.3
2021-04,Beer,False,,-0.4,-0.3
2021-05,Beer,False,,1.4,0.5
2021-06,Beer,False,,0.3,-0.4
2021-07,Beer,False,,0.2,-0.6
2021-08,Beer,False,,0.4,0.8
2021-09,Beer,False,,0,-0.5
2021-10,Beer,False,,-0.1,-0.4
2021-11,Beer,False,,0.4,0.2
2021-12,Beer,False,,0.4,0
2022-01,Beer,False,,0.4,-0.1
2022-02,Beer,False,,-0.2,0.3
2022-03,Beer,False,,-0.7,-0.1
2022-04,Beer,False,,0.2,0.6
2022-05,Beer,False,,0,0.3
2022-06,Beer,False,,0.5,0.1
2022-07,Beer,False,,1.2,0.1
2022-08,Beer,False,,2.7,2.2
2022-09,Beer,False,,4.1,0.9
2022-10,Beer,False,,4.7,0.2
2022-11,Beer,False,,5,0.4
2022-12,Beer,False,,4.8,-0.1
2023-01,Beer,False,,5.5,0.5
2023-02,Beer,False,,7.3,2
2023-03,Beer,False,,7.9,0.4
2023-04,Beer,False,,7.3,0
2023-05,Beer,False,,7.9,0.9
2023-06,Beer,False,,7.4,-0.4
2023-07,Beer,False,,7.5,0.2
2023-08,Beer,False,,7.6,2.3
2023-09,Beer,False,,7.3,0.5
2023-10,Beer,False,,6.6,-0.5
2023-11,Beer,False,,6.5,0.3
2023-12,Beer,False,,5.9,-0.6
2024-01,Beer,False,,5.8,0.5
2024-02,Beer,False,,4.3,0.6
2024-03,Beer,False,,5.4,1.5
2024-04,Beer,False,,5.4,-0.1
2024-05,Beer,False,,4.3,-0.2
2024-06,Beer,False,,4.9,0.3
2024-07,Beer,False,,5.1,0.4
2024-08,Beer,False,,3.8,1.1
2024-09,Beer,False,,3.4,0.1
2024-10,Beer,False,,4.2,0.3
2024-11,Beer,False,,4.3,0.4
2024-12,Beer,False,,4.4,-0.5
2025-01,Beer,False,,4.7,0.7
2025-02,Beer,False,,5.1,1
2025-03,Beer,False,,4.4,0.8
2025-04,Beer,False,,4.1,-0.4
2025-05,Beer,False,,4.7,0.4
2025-06,Beer,False,,4.2,-0.2
2025-07,Beer,False,,4.3,0.5
2025-08,Beer,False,,3.5,0.4
2025-09,Beer,False,,3.7,0.3
2025-10,Beer,False,,3.8,0.4
2025-11,Beer,False,,3.2,-0.1
2025-12,Beer,False,,3.5,-0.2
2026-01,Beer,False,,3.1,0.3
2026-02,Beer,False,,2.5,0.5
2026-03,Beer,False,,2.6,0.9
2026-04,Beer,False,,2.3,-0.7
2026-05,Beer,False,,2.2,0.3
2024-05,Books,False,,,-0.4
2024-06,Books,False,,,0.2
2024-07,Books,False,,,0.9
2024-08,Books,False,,,0.6
2024-09,Books,False,,,-3.2
2024-10,Books,False,,,-0.4
2024-11,Books,False,,,2.4
2024-12,Books,False,,,-2.1
2025-01,Books,False,,,-0.3
2025-02,Books,False,,,4.1
2025-03,Books,False,,,-2.6
2025-04,Books,False,,0.5,1.4
2025-05,Books,False,,1.2,0.3
2025-06,Books,False,,-2.2,-3.2
2025-07,Books,False,,-0.5,2.7
2025-08,Books,False,,-2.8,-1.7
2025-09,Books,False,,0.4,-0.1
2025-10,Books,False,,2.9,2.1
2025-11,Books,False,,0.5,0.1
2025-12,Books,False,,0.2,-2.5
2026-01,Books,False,,6,5.6
2026-02,Books,False,,0.8,-1
2026-03,Books,False,,2.1,-1.4
2026-04,Books,False,,-2,-2.6
2026-05,Books,False,,-0.5,1.8
2017-10,Bread,False,,,1
2017-11,Bread,False,,,0.5
2017-12,Bread,False,,,0.5
2018-01,Bread,False,,,-0.2
2018-02,Bread,False,,,-0.3
2018-03,Bread,False,,,0.1
2018-04,Bread,False,,,-1
2018-05,Bread,False,,,0.7
2018-06,Bread,False,,,0.3
2018-07,Bread,False,,,1
2018-08,Bread,False,,,0.3
2018-09,Bread,False,,3,0.1
2018-10,Bread,False,,2.2,0.1
2018-11,Bread,False,,1.6,-0.1
2018-12,Bread,False,,2.4,1.4
2019-01,Bread,False,,2.7,0.1
2019-02,Bread,False,,3.2,0.2
2019-03,Bread,False,,4.8,1.6
2019-04,Bread,False,,6.1,0.2
2019-05,Bread,False,,4.5,-0.8
2019-06,Bread,False,,4.1,-0.1
2019-07,Bread,False,,3,-0.1
2019-08,Bread,False,,3.2,0.4
2019-09,Bread,False,,2.2,-0.7
2019-10,Bread,False,,2.2,0.1
2019-11,Bread,False,,2.6,0.3
2019-12,Bread,False,,1.9,0.7
2020-01,Bread,False,,2.1,0.2
2020-02,Bread,False,,1.9,0
2020-03,Bread,False,,2.5,2.2
2020-04,Bread,False,,1.9,-0.4
2020-05,Bread,False,,1.8,-1
2020-06,Bread,False,,1.2,-0.6
2020-07,Bread,False,,1.3,0
2020-08,Bread,False,,1.1,0.3
2020-09,Bread,False,,2.1,0.2
2020-10,Bread,False,,2.3,0.4
2020-11,Bread,False,,2.5,0.6
2020-12,Bread,False,,2.5,0.6
2021-01,Bread,False,,2.2,-0.1
2021-02,Bread,False,,1.4,-0.7
2021-03,Bread,False,,-0.8,0
2021-04,Bread,False,,0,0.4
2021-05,Bread,False,,0.7,-0.3
2021-06,Bread,False,,1.1,-0.2
2021-07,Bread,False,,1.5,0.5
2021-08,Bread,False,,0.6,-0.7
2021-09,Bread,False,,1.1,0.7
