table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Total imprisonment rate (e),120.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Total prisoners (d) - Number,5918
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Males,5631
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Females,279
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Aboriginal and Torres Strait Islander,729
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Non-Indigenous,5015
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Known prior imprisonment - Proportion (%),52
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Unsentenced,33.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Male imprisonment rate (e),209.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Female imprisonment rate (e),9.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2024,Total imprisonment rate (e),107.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Total prisoners (d) - Number,6593
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Males,6232
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Females,363
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Aboriginal and Torres Strait Islander,915
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Non-Indigenous,5476
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Known prior imprisonment - Proportion (%),53.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Unsentenced,39.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Male imprisonment rate (e),228.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Female imprisonment rate (e),12.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2025,Total imprisonment rate (e),118.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Total prisoners (d) - Number,7746
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Males,7065
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Females,682
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Aboriginal and Torres Strait Islander,2461
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Non-Indigenous,5281
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Known prior imprisonment - Proportion (%),63.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Unsentenced,29.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Male imprisonment rate (e),383.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Female imprisonment rate (e),35.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2016,Total imprisonment rate (e),206.4
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Total prisoners (d) - Number,8476
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Males,7782
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Females,700
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Aboriginal and Torres Strait Islander,2724
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Non-Indigenous,5758
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Known prior imprisonment - Proportion (%),63.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Unsentenced,30
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Male imprisonment rate (e),414.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Female imprisonment rate (e),36
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2017,Total imprisonment rate (e),221.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2018,Total prisoners (d) - Number,8840
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2018,Males,7998
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2018,Females,838
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2018,Aboriginal and Torres Strait Islander,2745
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Queensland,,2018,Non-Indigenous,6095
