"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Children's","","Lodgments; civil","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","9360","8103","8123","2327","1441","159","238","373","..","30124"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Magistrates' (total)","","Lodgments; civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","133337","91038","54449","42772","17481","6784","3995","5889","..","355745"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Lodgments; civil","","Federal Court of Australia","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","707","707"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Lodgments; civil","","Federal Court of Australia","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","4808","4808"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Lodgments; civil","","Federal Court of Australia","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","5515","5515"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Lodgments; civil","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","8","..","..","..","..","419","427"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Lodgments; civil","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","14128","..","..","..","..","101092","115220"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Lodgments; civil","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","14136","..","..","..","..","101511","115647"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Lodgments; civil","","FCFCOA (Division 2)","Non-family law matters","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","11369","11369"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Coroners'","","Lodgments; civil","","Coroners' courts","","Deaths reported","","Australian state and territory court authorities and departments (unpublished)","no.","7564","7581","5990","3315","3848","960","376","377","..","30011"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Coroners'","","Lodgments; civil","","Coroners' courts","","Fires reported","","Australian state and territory court authorities and departments (unpublished)","no.","38","1","..","..","..","0","0","..","..","39"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Coroners'","","Lodgments; civil","","Coroners' courts","","Total coroners' courts (incl. deaths and fires reported)","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7602","7582","5990","3315","3848","960","376","377","..","30050"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (probate only)","","Lodgments; civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","30718","25973","15355","9493","8634","2795","1260","374","..","94602"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Lodgments; civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","146620","105200","64356","51418","18443","7164","4113","5870","..","403184"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","493","368","128","87","100","83","38","51","..","1348"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7590","6556","3526","1889","1128","724","491","170","..","22074"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","8083","6924","3654","1976","1228","807","529","221","..","23422"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","65","7","68","84","57","..","..","..","..","281"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7269","7597","4096","7601","1231","..","..","..","..","27794"
"7A.2","2023-24","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7334","7604","4164","7685","1288","..","..","..","..","28075"
